"ID","niscode","twtot","TOTAALBEV","DENSITEIT","diff","aandeel","originID.x","destID.x","oX","oY","stay","originID.y","move_to","destID.y","move_from","resident","inflow","outflow","resident255","inflow255","outflow255"
1,13014,8516,20386,193.565370921565,-58.2,41.8,1,1,4.76915655367356,51.4410328313727,4339,1,2928,1,3520,0.402243441179197,0.326318716974136,0.271437841846667,102.572077500695,83.2112728284046,69.2166496709002
2,13035,3491,14515,152.801459752401,-75.9,24.1,2,2,5.03275773580433,51.4149539804244,2138,2,2556,2,1133,0.366912648017848,0.194439677363995,0.438647674618157,93.5627252445512,49.5821177278188,111.85515702763
3,11016,4248,18075,380.666473177882,-76.5,23.5,3,3,4.4683426422378,51.4537678679433,2559,3,3547,3,1373,0.342158042519053,0.183580692605963,0.474261264874983,87.2503008423586,46.8130766145207,120.936622543121
4,11022,5123,18126,304.908276370638,-71.7,28.3,4,4,4.46966906078448,51.4053437203806,2406,4,4339,4,2341,0.264802993616553,0.257649130530486,0.477547875852961,67.524763372221,65.700528285274,121.774708342505
5,11053,4258,19547,218.581581435002,-78.2,21.8,5,5,4.60609078004737,51.3948964012809,2639,5,5594,5,1316,0.276364017174573,0.13781547806053,0.585820504764897,70.4728243795162,35.1429469054351,149.384228715049
6,13023,3156,8576,192.460861896562,-63.2,36.8,6,6,4.87656599553792,51.3738269823281,1290,6,2220,6,1519,0.256512229071386,0.302048120898787,0.441439650029827,65.4106184132034,77.0222708291907,112.567110757606
7,13002,479,2592,346.581194466949,-81.5,18.5,7,7,4.94312043671305,51.4420139390237,247,7,244,7,160,0.379416282642089,0.245775729646697,0.374807987711214,96.7511520737327,62.6728110599078,95.5760368663595
8,13040,27890,41572,741.512414562732,-32.9,67.1,8,8,4.95040581636731,51.3370064363931,8439,8,7802,8,18180,0.24517009964847,0.528165945207867,0.226663955143662,62.51837541036,134.682316028006,57.7993085616339
9,13001,4513,12894,232.819310763836,-65,35,9,9,5.09081256653525,51.3367302522816,2100,9,2579,9,1993,0.314748201438849,0.29871103117506,0.386540767386091,80.2607913669065,76.1713129496403,98.5678956834532
10,13037,3252,11434,244.390219577794,-71.6,28.4,10,10,4.77696214286571,51.356911574118,1460,10,3229,10,1517,0.235256203673864,0.244440863680309,0.520302932645827,59.9903319368353,62.3324202384789,132.677247824686
11,11002,265777,502604,2457.55069694576,-47.1,52.9,11,11,4.37061064731641,51.2670463779876,114125,11,66355,11,151064,0.344222787925585,0.455637864054243,0.200139348020172,87.7768109210241,116.187655333832,51.0355337451439
12,11009,7323,27906,307.204649166863,-73.8,26.2,12,12,4.62830186342778,51.3359681526369,3407,12,8640,12,3386,0.220760707574678,0.219399987040757,0.559839305384565,56.2939804315428,55.946996695393,142.759022873064
13,13031,3034,12905,332.640600583184,-76.5,23.5,13,13,5.01477779343538,51.321561280312,1146,13,3707,13,1652,0.176172175249808,0.253958493466564,0.569869331283628,44.923904688701,64.7594158339739,145.316679477325
14,31043,11812,34004,602.446054290162,-65.3,34.7,14,14,3.31129469823048,51.3278328638307,6815,14,5197,14,4240,0.419333005168595,0.260890967265567,0.319776027565838,106.929916317992,66.5271966527197,81.5428870292887
15,11023,7360,26546,715.273911026726,-72.3,27.7,15,15,4.44032728176347,51.3424342157396,2592,15,7458,15,4205,0.181830936513504,0.294984216064539,0.523184847421957,46.3668888109435,75.2209750964574,133.412136092599
16,11044,3123,18028,838.258278962944,-82.7,17.3,16,16,4.37149857526569,51.3347288006121,1299,16,6708,16,1460,0.137213478398648,0.154219921833738,0.708566599767614,34.9894369916552,39.3260800676033,180.684482940742
17,11008,12434,37301,968.98746537911,-66.7,33.3,17,17,4.50174918615632,51.3134184164895,4764,17,9719,17,6866,0.223148625228348,0.321607569441192,0.45524380533046,56.9028994332287,82.0099302075039,116.087170359267
18,13004,9286,17167,458.032807390254,-45.9,54.1,18,18,4.83503969053542,51.3186602876963,2600,18,4645,18,6107,0.194727381665668,0.457384661473936,0.347887956860395,49.6554823247454,116.633088675854,88.7114289994008
19,46003,18443,46752,311.303764496305,-60.6,39.4,19,19,4.23190998167045,51.2580426019626,7550,19,12321,19,9932,0.253330201657551,0.333255041438781,0.413414756903667,64.5992014226756,84.9800355668892,105.420763010435
20,13046,1426,10700,903.105857004413,-86.7,13.3,20,20,4.89874936279379,51.3109804585003,732,20,3532,20,572,0.15136476426799,0.118279569892473,0.730355665839537,38.5980148883375,30.1612903225806,186.240694789082
21,11057,7981,14763,283.980586446168,-45.9,54.1,21,21,4.72496715508879,51.2934754232533,2511,21,3619,21,5012,0.225363489499192,0.449829474062107,0.3248070364387,57.467689822294,114.706515885837,82.8257942918686
22,13025,12777,34827,304.815299275638,-63.3,36.7,22,22,5.16279959805961,51.2341902835904,5636,22,8259,22,6526,0.275990402037119,0.319572988590177,0.404436609372705,70.3775525194653,81.4911120904951,103.13133539004
